,userId,movieId,rating,original_title,genres,keywords
0,1,238,5,The Godfather,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","['transvestism', 'gay', 'male', 'nudity', 'sexual', 'cologne', 'drag', 'queen', 'support', 'group', 'heterosexual', 'diashow', 'waitress', 'infidelity', 'friendship']"
1,1,240,5,The Godfather: Part II,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","['suicide', 'prostitute', 'helicopter', 'based', 'on', 'novel', 'journalism', 'sniper', 'propaganda', 'vietnam', 'recruit', 'war', 'photographer', 'war', 'correspondent', 'war', 'boot', 'camp', 'rescue', 'jungle', 'infantry', 'sergeant', 'racism', 'violence', 'genocide', 'fighting', 'platoon', 'combat', 'discipline', 'obstacle', 'course', 'peace', 'sign', 'us', 'marine', 'mass', 'grave', 'blanket', 'party']"
2,1,207,5,Dead Poets Society,"[{'id': 18, 'name': 'Drama'}]","['seduction', 'college', 'romance', 'wedding', 'older', 'woman', 'younger', 'man', 'relationship', 'graduate', 'rape', 'accusation']"
3,1,9377,5,Ferris Bueller's Day Off,"[{'id': 35, 'name': 'Comedy'}]","['civil', 'war', 'embassy', 'indonesia', 'falling', 'in', 'love']"
4,1,141,5,Donnie Darko,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","['nurse', 'blackmail', 'teacher', 'best', 'friend', 'bank', 'robbery']"
5,1,9685,5,Igby Goes Down,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",[]
6,1,1726,5,Iron Man,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]","['possessed', 'lethal', 'virus']"
7,1,13475,5,Star Trek,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","['lake', 'nudity', 'bikini', 'love', 'camp', 'summer', 'teenager', 'voyeur']"
8,1,767,5,Harry Potter and the Half-Blood Prince,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",[]
9,1,10528,5,Sherlock Holmes,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]","['taxi', 'country', 'music', 'journalist', 'guitar', 'bar', 'musician', 'alcoholism', 'independent', 'film', 'singer', 'memory', 'texan', 'alcoholic', 'drink', 'guilt', 'biscuit']"
10,1,12444,5,Harry Potter and the Deathly Hallows: Part 1,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]","['great', 'britain', 'radio', 'monarchy', 'radio', 'transmission', 'royal', 'family', 'speech', 'marriage', 'royalty', 'death', 'of', 'father']"
11,1,58574,5,Sherlock Holmes: A Game of Shadows,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]","['daily', 'life', 'non', 'fiction', 'clip', 'show', 'fear', 'talking', 'to', 'the', 'camera', 'one', 'day', 'nonlinear', 'timeline']"
12,1,64678,5,The Art of Getting By,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",[]
13,1,84892,5,The Perks of Being a Wallflower,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","['father', 'son', 'relationship', 'denmark', 'lie', 'pedophilia', 'kindergarten', 'father', 'deer', 'children', 'teacher', 'school', 'pedophile', 'divorce', 'hunting']"
14,1,244786,5,Whiplash,"[{'id': 18, 'name': 'Drama'}]","['based', 'on', 'novel', 'marriage', 'crisis', 'disappearance', 'cheating', 'husband', 'missing', 'person', 'search', 'party', 'criminal', 'lawyer', 'wife', 'murder', 'murder', 'suspect', 'missing', 'wife']"
15,1,10474,4.5,The Basketball Diaries,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","['england', 'based', 'on', 'novel', 'liverpool', 'theatre', 'company', '1940s']"
16,1,745,4.5,The Sixth Sense,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","['martinique', 'claude', 'monet', 'famous', 'painting', 'glider', 'insurance', 'agent', 'missing', 'painting', 'stolen', 'painting', 'valuable', 'painting', 'rich', 'people']"
17,1,2108,4,The Breakfast Club,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","['gay', 'dancing', 'fire', 'diary', 'nightmare', 'haunted', 'house', 'transformation', 'supernatural', 'high', 'school', 'party', 'possession', 'premonition', 'spontaneous', 'combustion', 'bdsm', 'school', 'bus', 'disfigurement', 'sleepwalking', 'dreams']"
18,1,550,4,Fight Club,"[{'id': 18, 'name': 'Drama'}]",[]
19,1,77,4,Memento,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","['independent', 'film', 'track', 'and', 'field', 'gangster', 'rap']"
20,1,272,4,Batman Begins,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","['swordplay', 'katana']"
21,1,155,4,The Dark Knight,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","['small', 'town', 'widow', 'doctor']"
22,1,68718,4,Django Unchained,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",[]
23,1,8363,3.5,Superbad,"[{'id': 35, 'name': 'Comedy'}]","['ice', 'bravery', 'instinct', 'polar', 'bear', 'walrus', 'rivalry', 'survival', 'family', 'antarctic']"
24,1,70160,2.5,The Hunger Games,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",[]
25,1,197,1,Braveheart,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]","['vietnam', 'veteran', 'taxi', 'obsession', 'drug', 'dealer', 'night', 'shift', 'vigilante', 'alienation', 'misanthrope', 'shot', 'to', 'death', 'illegal', 'prostitution', 'loner']"
26,1,49051,0.5,The Hobbit: An Unexpected Journey,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",[]
27,2,2064,5,While You Were Sleeping,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","['vietnam', 'veteran', 'bullying', 'child']"
28,2,199,5,Star Trek: First Contact,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]","['letter', 'jumping', 'child', 'prodigy', 'pool', 'pianist', 'concert', 'hall', 'breakdown']"
29,2,19760,4,Two If by Sea,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","['biotope', 'vegetarian', 'pollution']"
30,2,9623,4,The Juror,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","['fish', 'money', 'celebration', 'goldfish']"
31,2,11,4,Star Wars,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","['depression', 'mother', 'daughter', 'relationship', 'pregnant', 'desire', 'chalkboard', 'xa0nightgown', 'louisa', 'may', 'alcott', 'birth', 'of', 'twins', 'woman', 'director']"
32,2,1637,4,Speed,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]","['politics', 'love', 'speech', 'writer']"
33,2,7300,4,One Fine Day,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","['new', 'orleans', 'sequel', 'murder', 'urban', 'legend', 'curse', 'serial', 'killer', 'slasher', 'hook', 'killer', 'mirror', 'hook', 'for', 'a', 'hand', 'flashback']"
34,2,1592,4,Primal Fear,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",[]
35,2,954,4,Mission: Impossible,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","['road', 'movie']"
36,2,1892,4,Return of the Jedi,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","['berlin', 'angel', 'circus', 'berlin', 'wall', 'library', 'dream', 'immortality', 'mortality']"
37,2,387,4,Das Boot,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}, {'id': 12, 'name': 'Adventure'}]","['chicago', 'bet', 'horse', 'race', 'repayment', 'con', 'man', 'mafia', 'boss', 'violence', 'ragtime', 'reference', 'to', 'mutt', 'and', 'jeff', 'off', 'track', 'betting', 'sting', 'operation', 'alley', '1930s', '20th', 'century']"
